id,title,author,follower_count,medium_url,clap_count,published_at,image_url,reading_time,uniqueSlug,isLocked
845314a5ecf4,Newscapsule for the Month of August 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-august-2023-845314a5ecf4,3526,1694806665950,0*yHKXJdKVxdPQ5y4g,12.793396226415094,newscapsule-for-the-month-of-august-2023-845314a5ecf4,True
6c74a1924c10,Newscapsule for the Month of July 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-july-2023-6c74a1924c10,3666,1692819510373,0*jUs8K5gbSHsMoSSr,14.340566037735849,newscapsule-for-the-month-of-july-2023-6c74a1924c10,True
a77bcc0f3940,The Power of Listening: Unveiling Success Secrets from Stephen Schwarzman,Shah Mohammed,962,https://shahmm.medium.com/the-power-of-listening-unveiling-success-secrets-from-stephen-schwarzman-a77bcc0f3940,0,1691943731533,0*AUV7eBZ_zkd_fGBL.jpg,6.524528301886793,the-power-of-listening-unveiling-success-secrets-from-stephen-schwarzman-a77bcc0f3940,False
41c09caa44ae,Newscapsule for the Month of June 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-june-2023-41c09caa44ae,3297,1690296289314,0*y4_x9k67iry2DRgn,11.623584905660378,newscapsule-for-the-month-of-june-2023-41c09caa44ae,True
37dcaec43875,Supercharging Data Analysis with AI: A Deep Dive into ChatGPT,Yusuf Ganiyu,1919,https://python.plainenglish.io/supercharging-data-analysis-with-ai-a-deep-dive-into-chat-gpt-37dcaec43875,87,1690812635055,1*zjtzLxTBkeqXhdxHF0ju-A.png,3.50314465408805,supercharging-data-analysis-with-ai-a-deep-dive-into-chat-gpt-37dcaec43875,True
6b25a0932223,Newscapsule for the Month of May 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-may-2023-6b25a0932223,3266,1687758999907,0*yYqA2ZucUFn5EAQ9,10.012264150943397,newscapsule-for-the-month-of-may-2023-6b25a0932223,True
f0dbd38f4a9e,Newscapsule for the Month of April 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-april-2023-f0dbd38f4a9e,3703,1684338589540,0*1BQD7Hzy38bnxg4o,8.450000000000001,newscapsule-for-the-month-of-april-2023-f0dbd38f4a9e,True
bcfa04de80e8,Newscapsule for the Month of March 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-march-2023-bcfa04de80e8,3478,1681971359513,0*gz6VtyLxsjZI0RZn,11.13679245283019,newscapsule-for-the-month-of-march-2023-bcfa04de80e8,True
c5f34739c44d,Newscapsule for the Month of February 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-february-2023-c5f34739c44d,3159,1678218953833,0*kLZn75D1Wn5QrMsu,8.374528301886793,newscapsule-for-the-month-of-february-2023-c5f34739c44d,True
b19c1c9106f3,Newscapsule for the Month of January 2023,Jairam R Prabhu,7134,https://medium.com/illuminations-mirror/newscapsule-for-the-month-of-january-2023-b19c1c9106f3,3506,1675833246915,0*kaSROXyBx99O_ZNU,9.382075471698114,newscapsule-for-the-month-of-january-2023-b19c1c9106f3,True
6c85e7354c2b,"Make Money on YouTube in 2022: 6 channels that earn over $10,000 a month",Michael Godwin,1179,https://medium.com/illumination/make-money-on-youtube-in-2022-6-channels-that-earn-over-10-000-a-month-6c85e7354c2b,592,1660671488583,1*7tK20p63sCkH2zANgW5dqQ.jpeg,3.0452830188679245,make-money-on-youtube-in-2022-6-channels-that-earn-over-10-000-a-month-6c85e7354c2b,True
bc7778c6651b,The Best Personal Finance Books to Read in 2022,J.J. Pryor,18067,https://medium.com/feedium/best-personal-finance-books-bc7778c6651b,88,1647421725809,0*3fatbcM_CClga1dC,9.493396226415094,best-personal-finance-books-bc7778c6651b,True
9d89a9775ed1,Crowdfunding > Venture Capital,JP Popham,1130,https://medium.com/@pophamjohn97/crowdfunding-venture-capital-9d89a9775ed1,4,1642101761000,0*1kqfO9CNSktMCilE.jpeg,2.139622641509434,crowdfunding-venture-capital-9d89a9775ed1,True
87b486729280,"Cassandra, I discovered you today and I plan to read all of your articles.",Joanna Henderson,4882,https://joannahenderson.medium.com/cassandra-i-discovered-you-today-and-i-plan-to-read-all-of-your-articles-87b486729280,0,1605363789751,,0.22264150943396227,cassandra-i-discovered-you-today-and-i-plan-to-read-all-of-your-articles-87b486729280,False
5e25d3aa40c6,The Benevolent Corporate Dictator Should Worry You More Than The Callous One,Emma Caterine,794,https://emmacaterine.medium.com/the-benevolent-corporate-dictator-should-worry-you-more-than-the-callous-one-5e25d3aa40c6,5,1577313866414,,3.1056603773584905,the-benevolent-corporate-dictator-should-worry-you-more-than-the-callous-one-5e25d3aa40c6,False
a31cbdaebd51,Startup Valuation — The Ultimate Guide to Value Startups 2019,Pro Business Plans,656,https://medium.com/pro-business-plans/startup-valuation-the-ultimate-guide-to-value-startups-2019-a31cbdaebd51,3499,1568724462858,1*Okm_5fKz2xo16YHNdo1RyA.png,6.866352201257862,startup-valuation-the-ultimate-guide-to-value-startups-2019-a31cbdaebd51,False
6ee5e15b9b99,Tokenisation- the Future of Ownership,ECOMI,7170,https://medium.com/ecomi/tokenisation-the-future-of-ownership-6ee5e15b9b99,105,1533022785843,1*Ix5IFzmL3wWBrDtcX9J8Wg.jpeg,3.952830188679245,tokenisation-the-future-of-ownership-6ee5e15b9b99,False
8ef24b609b0c,3 Proven Sales Tips for Creatives,Due.com,4925,https://medium.com/due/3-proven-sales-tips-for-creatives-8ef24b609b0c,0,1521111616000,1*nqhgpkSUD13FE-qhukaKxg.jpeg,2.3735849056603775,3-proven-sales-tips-for-creatives-8ef24b609b0c,False
63ab5bb996a8,Are You Really Living Your True Purpose?,davidji,1089,https://medium.com/@davidjimeditation/are-you-really-living-your-true-purpose-63ab5bb996a8,29,1507418594487,1*8foqT4jwI9l59wF7Q4OFSw.jpeg,4.347169811320755,are-you-really-living-your-true-purpose-63ab5bb996a8,False
